종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
004380,삼익THK,KOSPI,기계,"11,950",-50,-0.42,"250,950,000,000"
002450,삼익악기,KOSPI,기타제조업,"1,365",5,0.37,"123,574,698,975"
004440,삼일씨엔에스,KOSPI,비금속광물,"7,280",10,0.14,"92,688,574,160"
000520,삼일제약,KOSPI,의약품,"8,150",-10,-0.12,"111,668,406,750"
009770,삼정펄프,KOSPI,종이목재,"25,800",300,1.18,"64,499,251,800"
005500,삼진제약,KOSPI,의약품,"24,450",-50,-0.20,"339,855,000,000"
004690,삼천리,KOSPI,전기가스업,"185,500","1,500",0.82,"752,207,137,500"
010960,삼호개발,KOSPI,건설업,"3,880",0,0.00,"97,000,000,000"
004450,삼화왕관,KOSPI,기계,"36,350",450,1.25,"78,311,676,650"
009470,삼화전기,KOSPI,전기전자,"17,800",400,2.30,"117,725,996,000"
011230,삼화전자,KOSPI,전기전자,"2,985",75,2.58,"31,216,950,900"
001820,삼화콘덴서,KOSPI,전기전자,"40,200",700,1.77,"417,879,000,000"
000390,삼화페인트,KOSPI,화학,"7,080",450,6.79,"192,600,560,520"
001290,상상인증권,KOSPI,증권,"1,050",35,3.45,"113,753,976,000"
041650,상신브레이크,KOSPI,운수장비,"3,265",45,1.40,"70,104,284,250"
075180,새론오토모티브,KOSPI,운수장비,"4,865",30,0.62,"93,408,000,000"
007540,샘표,KOSPI,기타금융,"53,600",100,0.19,"154,142,880,000"
248170,샘표식품,KOSPI,음식료품,"36,000","1,250",3.60,"164,458,296,000"
007860,서연,KOSPI,기타금융,"7,170",270,3.91,"168,350,481,480"
200880,서연이화,KOSPI,운수장비,"8,890",880,10.99,"240,282,804,930"
017390,서울가스,KOSPI,전기가스업,"243,500",500,0.21,"1,217,500,000,000"
004410,서울식품,KOSPI,음식료품,252,2,0.80,"94,438,400,868"
004415,서울식품우,KOSPI,음식료품,"3,235",65,2.05,"7,196,257,500"
021050,서원,KOSPI,철강금속,"1,340",5,0.37,"63,615,950,600"
008490,서흥,KOSPI,화학,"32,000",0,0.00,"370,211,616,000"
007610,선도전기,KOSPI,전기전자,"3,000",0,0.00,"54,000,000,000"
136490,선진,KOSPI,음식료품,"9,950",-20,-0.20,"236,607,059,800"
014910,성문전자,KOSPI,전기전자,"1,770",40,2.31,"34,491,736,890"
014915,성문전자우,KOSPI,전기전자,"8,120",-30,-0.37,"4,872,000,000"
003080,성보화학,KOSPI,화학,"3,545",75,2.16,"70,970,900,000"
004980,성신양회,KOSPI,비금속광물,"8,880",0,0.00,"217,702,728,240"
004985,성신양회우,KOSPI,비금속광물,"12,900",200,1.57,"9,489,820,500"
011300,성안,KOSPI,섬유의복,644,53,8.97,"36,616,461,840"
000180,성창기업지주,KOSPI,서비스업,"1,940",-15,-0.77,"135,318,104,000"
002420,세기상사,KOSPI,유통업,"8,480",170,2.05,"36,264,041,600"
004360,세방,KOSPI,운수창고업,"10,050",0,0.00,"194,052,334,500"
004365,세방우,KOSPI,운수창고업,"6,720",70,1.05,"24,791,760,000"
004490,세방전지,KOSPI,전기전자,"49,400",900,1.86,"691,600,000,000"
001430,세아베스틸지주,KOSPI,철강금속,"14,400",-50,-0.35,"516,414,513,600"
306200,세아제강,KOSPI,철강금속,"146,000","-2,000",-1.35,"414,099,800,000"
003030,세아제강지주,KOSPI,기타금융,"130,500","-1,000",-0.76,"540,486,238,500"
019440,세아특수강,KOSPI,철강금속,"13,500",0,0.00,"115,695,000,000"
058650,세아홀딩스,KOSPI,철강금속,"96,300",-200,-0.21,"385,200,000,000"
013000,세우글로벌,KOSPI,유통업,"1,560",5,0.32,"44,779,848,360"
091090,세원이앤씨,KOSPI,기계,624,5,0.81,"98,677,932,912"
021820,세원정공,KOSPI,운수장비,"8,090",0,0.00,"80,900,000,000"
067830,세이브존I&C,KOSPI,유통업,"2,910",10,0.34,"119,429,004,450"
033530,세종공업,KOSPI,운수장비,"5,180",0,0.00,"144,112,577,980"
075580,세진중공업,KOSPI,운수장비,"5,370",-150,-2.72,"305,281,578,720"
027970,세하,KOSPI,종이목재,"1,290",-5,-0.39,"74,256,266,130"
308170,센트랄모텍,KOSPI,운수장비,"15,050",250,1.69,"129,580,500,000"
012600,센트럴인사이트,KOSPI,기계,"2,490",0,0.00,"45,159,499,050"
068270,셀트리온,KOSPI,의약품,"190,000","2,500",1.33,"26,745,891,690,000"
336370,솔루스첨단소재,KOSPI,전기전자,"42,100","1,300",3.19,"1,478,181,309,500"
33637K,솔루스첨단소재1우,KOSPI,전기전자,"10,300",250,2.49,"87,088,755,700"
33637L,솔루스첨단소재2우B,KOSPI,전기전자,"14,100",450,3.30,"26,639,835,000"
248070,솔루엠,KOSPI,전기전자,"18,800",50,0.27,"940,104,358,800"
004430,송원산업,KOSPI,화학,"19,250",900,4.90,"462,000,000,000"
017550,수산중공업,KOSPI,기계,"2,955",-20,-0.67,"159,526,156,665"
053210,스카이라이프,KOSPI,서비스업,"9,730",580,6.34,"465,307,729,180"
026890,스틱인베스트먼트,KOSPI,기타금융,"7,070",-20,-0.28,"294,664,697,250"
134790,시디즈,KOSPI,기타제조업,"49,500","-5,400",-9.84,"99,000,000,000"
