종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
066410,버킷스튜디오,KOSDAQ,통신서비스,"2,355",300,14.60,"173,263,286,955"
382900,범한퓨얼셀,KOSDAQ,일반전기전자,"29,750",-700,-2.30,"260,639,750,000"
206400,베노홀딩스,KOSDAQ,건설,"3,540",-30,-0.84,"102,072,398,940"
019010,베뉴지,KOSDAQ,유통,"2,050",10,0.49,"98,810,000,000"
177350,베셀,KOSDAQ,반도체,"6,880",-120,-1.71,"85,269,302,720"
299910,베스파,KOSDAQ,디지털컨텐츠,"3,165",0,0.00,"25,974,889,140"
225530,보광산업,KOSDAQ,비금속,"6,160",-160,-2.53,"223,846,558,320"
250000,보라티알,KOSDAQ,유통,"11,850",150,1.28,"79,996,186,050"
310210,보로노이,KOSDAQ,제약,"41,700",-450,-1.07,"527,332,737,300"
006910,보성파워텍,KOSDAQ,금속,"5,280",-230,-4.17,"259,405,470,720"
226340,본느,KOSDAQ,화학,"1,685",70,4.33,"51,728,819,260"
014470,부방,KOSDAQ,금융,"2,225",45,2.06,"133,616,278,500"
008470,부스타,KOSDAQ,금속,"5,030",-30,-0.59,"42,276,144,000"
338220,뷰노,KOSDAQ,소프트웨어,"7,940",50,0.63,"89,981,288,640"
100120,뷰웍스,KOSDAQ,의료·정밀기기,"35,000",-100,-0.28,"350,065,275,000"
337930,브랜드엑스코퍼레이션,KOSDAQ,인터넷,"7,260",10,0.14,"214,695,740,160"
099390,브레인즈컴퍼니,KOSDAQ,소프트웨어,"8,470",-80,-0.94,"69,524,157,010"
064480,브리지텍,KOSDAQ,컴퓨터서비스,"4,750",0,0.00,"56,774,375,000"
288330,브릿지바이오테라퓨틱스,KOSDAQ,제약,"10,000",820,8.93,"198,664,250,000"
365900,브이씨,KOSDAQ,기타제조,"11,950",-150,-1.24,"87,358,085,000"
251630,브이원텍,KOSDAQ,기계·장비,"7,110",60,0.85,"107,756,173,800"
018290,브이티지엠피,KOSDAQ,화학,"5,170",-30,-0.58,"178,281,726,810"
044480,블루베리 NFT,KOSDAQ,화학,"2,255",-65,-2.80,"72,935,677,155"
033560,블루콤,KOSDAQ,IT부품,"9,720",-100,-1.02,"166,212,000,000"
